,Headlines,Andrew,Bryan,Charlie,David,Elfie,Freddy,George,Henry,Islam,Jack,Kevin
65,Capital gains tax review: your questions answered,0,0,0,0,0,0,0,0,0,0,0
66,Asos considers action against Leicester supplier in ethical audit,0,0,0,0,0,0,0,0,0,0,0
67,Business live  Chancellor Rishi Sunak warns of 'tough choices' to address public finances - as it happened,0,1,1,1,0,1,1,1,1,0,0
68,BBC announces further 70 job cuts in news division,0,0,0,0,0,0,0,0,0,0,0
69,"Claim Amanda Staveley in charge of Abu Dhabi Barclays deal 'a fantasy', court told",0,0,0,0,0,0,0,0,0,0,0
70,Trump claims credit for UK Huawei ban as China says move 'disheartening' – video,0,0,0,0,0,0,0,0,0,0,0
71,Buzz Bingo to close 26 halls across UK with loss of up to 573 jobs,0,0,0,0,0,0,0,0,0,0,0
72,"UK ban on Huawei in 5G network groundless, says Chinese ambassador",0,0,0,0,0,0,0,0,0,0,0
73,UK fast-food and coffee chains cut prices as VAT relief comes into effect,1,0,0,0,0,0,0,1,1,0,0
74,"Apple does not need to pay €13bn Irish tax bill, EU court rules",0,0,0,0,0,0,0,0,0,0,0
75,‘I can’t afford to turn away business’: view from shops on face mask rules,0,0,0,0,0,0,0,0,0,0,0
76,The Number Bias by Sanne Blauw review – how numbers can mislead us,0,0,0,0,0,0,0,0,0,0,0
77,Chinese media calls for 'pain' over UK Huawei ban as Trump claims credit,0,0,0,0,1,0,1,1,0,1,1
78,Matt Hancock rules out mandatory face masks in offices,0,0,0,0,0,0,0,0,0,0,0
79,Burberry to cut 500 jobs worldwide in £55m cost-saving drive,0,0,0,0,0,0,0,0,0,0,0
80,UK inflation rises as game console prices increase in lockdown,0,0,0,0,0,0,0,0,0,0,0
81,BFI diversity standards 'failing to tackle race discrimination in UK film industry',0,0,0,0,0,0,0,0,0,0,0
82,"Your problems, with Anna Tims  Floored as Harveys constantly failed on its promises to deliver",0,0,0,0,0,0,0,0,0,0,0
83,Governments put 'green recovery' on the backburner,0,0,0,0,0,0,0,0,0,0,0
84,The green recovery  UK government planning new green investment bank,0,1,1,1,0,1,1,1,1,0,0
85,Stamp duty cut fuels surge of interest in London commuter belt,0,0,0,0,0,0,0,0,0,0,0
86,"UK energy efficiency push offers just a third of the investment needed, says report",0,1,1,1,0,1,1,1,1,1,0
87,UK launches first online service for groceries in reusable packing,0,0,0,0,0,0,0,0,0,0,0
88,Rishi Sunak's capital gains tax review may usher in higher taxes on wealthy,0,0,0,0,0,0,0,0,0,0,0
89,Virgin Atlantic: a successful non-intervention by the Treasury,0,0,0,0,0,0,0,0,0,0,0
90,The Guardian view on Covid-19 economics: the austerity con of deficit hysteria,0,0,0,0,0,0,0,0,0,0,0
91,Former Barclays boss apologises for Amanda Staveley 'tart' reference,0,0,0,0,0,0,0,0,0,0,0
92,Hospitality VAT cut may not be passed on to UK consumers,1,0,1,1,1,0,0,0,1,1,0
93,Oprah Winfrey and Jay-Z tap into rising alt-milk star Oatly,0,0,0,0,0,0,0,0,0,0,0
94,"Weak recovery could make unemployment worse than 1980s levels, warns OBR",0,0,0,0,0,0,0,0,0,0,0
95,Treasury forecaster's three stark predictions for Britain's economy,0,0,0,0,0,0,0,0,0,0,0
96,UK accounting firms criticised by watchdog for ‘unacceptable’ work,0,0,0,0,0,0,0,0,0,0,0
97,Business live  Hopes for V-shaped recovery fade as UK economy grows 1.8% in May - as it happened,0,0,0,0,0,0,0,0,0,0,0
98,Virgin Atlantic agrees £1.2bn rescue deal amid coronavirus slump,0,0,0,0,0,0,0,0,0,0,0
99,Ireland could randomly test tourists from high-risk countries for Covid-19,0,0,0,0,0,0,0,0,0,0,0
100,British Airways to sell art collection to ease Covid-19 pressures,0,0,0,0,0,0,0,0,0,0,0
101,UK's growth figures dim hopes of V-shaped recovery from Covid-19,0,0,0,0,0,0,0,0,0,0,0
102,Flood strategy 'at odds with Boris Johnson push for mass housing',1,0,1,1,1,1,1,1,0,0,1
103,"UK economy may not recover until end of 2022, Treasury forecaster warns",0,0,0,0,0,0,0,0,0,0,0
104,Face masks 'will deter young shoppers' says JD Sports chairman,0,0,0,0,0,0,0,0,0,0,0
105,Ocado has waiting list of 1 million customers wanting to sign up,0,0,0,0,0,0,0,0,0,0,0
106,"Huawei to be stripped of role in UK's 5G network by 2027, Dowden confirms",0,0,0,0,0,0,0,0,0,0,0
107,"End of the office: the quiet, grinding loneliness of working from home",0,0,0,0,0,0,0,0,0,0,0
108,Britain's economy returns to growth more slowly than expected,0,0,0,0,0,0,0,0,0,0,0
109,"Sunak’s Covid-19 package may not be value for money, warns Treasury economist",0,0,0,0,0,0,0,0,0,0,0
110,UK retail sales in June show signs of recovery after covid lockdown,1,0,1,1,1,0,0,0,1,1,0
111,The fast fashion fix: 20 ways to stop buying new clothes for ever,0,0,0,0,0,0,0,0,0,0,0
112,Government hopes cut in red tape will triple UK's battery capacity,0,0,0,0,0,0,0,0,0,0,0
113,"After mixed messages and mess-ups, Johnson bows to the inevitable",0,0,0,0,0,0,0,0,0,0,0
114,UK's expected U-turn on Huawei fails to satisfy Tory rebels,0,0,0,0,0,0,0,0,0,0,0
115,"Nils Pratley on finance  


  Sunak cannot just hope other big firms will follow Primark's furlough stance",0,1,1,1,0,1,1,1,1,0,0
116,Asda equal pay dispute goes to UK supreme court in virtual hearing,0,0,0,0,0,0,0,0,0,0,0
117,Boohoo shares drop 18% as new Leicester factory reports threaten sales,0,0,0,0,0,0,0,0,0,0,0
118,Nationwide to offer low-deposit mortgages after stamp duty move,0,0,0,0,0,0,0,0,0,0,0
119,"Grogonomics  


  To make jobseeker fit for purpose, its temporary rise should be permanent",0,0,0,0,0,0,0,0,0,0,0
120,Offshore wind energy investment quadruples despite Covid-19 slump,0,1,1,1,0,1,1,1,1,1,0
121,Halfords to close up to 60 sites despite rise in bike sales in lockdown,0,0,0,0,0,0,0,0,0,0,0
122,Business live  Markets strengthen amid economic recovery hopes - as it happened,0,1,1,1,0,1,1,1,1,0,0
123,What is Huawei and why is its role in UK's 5G so controversial?,0,0,0,0,0,0,0,0,0,0,0
124,"G4S planning more than 1,000 job losses in cash-handling services",0,0,0,0,0,0,0,0,0,0,0
125,Johnnie Walker maker creates plastic-free paper-based spirits bottle,0,0,0,0,0,0,0,0,0,0,0
126,Gold trade body urged to suspend refinery over alleged abuses in Tanzania,0,0,0,0,0,0,0,0,0,0,0
127,Work begins in Lincolnshire on world's longest subsea power cable,0,1,0,1,0,1,0,0,1,1,0
128,Quiz suspends clothing supplier over Leicester subcontractor concerns,0,0,0,0,0,0,0,0,0,0,0
129,BT boss warns of outages and security risks if UK ditches Huawei,0,0,0,0,0,0,0,0,0,0,0
130,"Three in four UK firms unprepared for Brexit, study shows",0,0,0,0,0,0,0,0,0,0,0
131,UK tobacco sales fell faster after plain packaging rules came into force,0,0,0,0,0,0,0,0,0,0,0
132,"Shoppers shun high streets in England and Northern Ireland, data shows",0,0,0,0,0,0,0,0,0,0,0
133,Bono campaign group accuses UK of wasting international aid budget,0,0,0,0,0,0,0,0,0,0,0
134,"Project Syndicate economists  


  Covid-19 is no excuse for sovereign creditors to move the goalposts on debt",0,0,0,0,0,0,0,0,0,0,0
135,Super-rich call for higher taxes on wealthy to pay for Covid-19 recovery,0,0,0,0,0,0,0,0,0,0,0
136,Priti Patel to unveil details of post-Brexit immigration plans,0,0,0,0,0,0,0,0,0,0,0
137,Primark turns down £30m windfall from job retention bonus,0,0,0,0,0,0,0,0,0,0,0
138,Post-furlough sums don’t add up for me,0,0,0,0,0,0,0,0,0,0,0
139,Corporations begin cautious return to UK offices after lockdown,0,0,0,0,0,0,0,0,0,0,0
140,"Economics viewpoint  


  Until Covid-19 uncertainty melts away there's little chance of full economic recovery",0,0,0,0,0,0,0,0,0,0,0
141,Of course there's a future for the British fishing industry – on stage,0,0,0,0,0,0,0,0,0,0,0
142,The simplest way to close the racial wealth gap? Direct cash payments,0,0,0,0,0,0,0,0,0,0,0
143,Enough of the psychobabble. Racism is not something to fix with therapy,0,0,0,0,0,0,0,0,0,0,0
144,‘They just got away with paying men more …’ Milestone looms in Asda equal pay fight,0,0,0,0,0,0,0,0,0,0,0
145,Precious metal: the gold-standard investment when a crisis hits?,0,1,1,1,0,1,1,1,1,0,0
146,"The shifting patterns of English  


  May I have a word about… why it’s a bloodbath on the streets",0,0,0,0,0,0,0,0,0,0,0
147,"Observer business agenda  Sunak will say things are looking up, but OBR has less faith in a rebound",0,0,0,0,0,0,0,0,0,0,0
148,"Business leader  


  Investors are selling Boohoo shares now. They could have intervened far earlier",0,0,0,0,0,0,0,0,0,0,0
149,Is too much trade at stake for Britain to stand up to Beijing?,0,0,0,0,0,0,0,0,0,0,0
150,Where in Britain does China spend its money?,0,0,0,0,0,0,0,0,0,0,0
151,"Electric cars: five best buys, from new models to used bargains",1,1,0,0,0,0,0,1,0,1,0
152,Boris Johnson urged to clarify message on wearing face masks in shops,0,0,0,0,0,0,0,0,0,0,0
153,Covid-19 has revealed a pre-existing pandemic of poverty that benefits the rich,0,0,0,0,0,0,0,0,0,0,0
154,"‘My parents helped me pack lube’: from sex toys to bidets, the lockdown businesses that boomed",0,0,0,0,0,0,0,0,0,0,0
155,'Pensioners are already suffering': responses to the summer statement,0,0,0,0,0,0,0,0,0,0,0
156,"Leicester factory put lives at risk during lockdown, claims garment worker",0,0,0,0,0,0,0,0,0,0,0
157,Vast Brexit customs clearance centre to be built in Kent,0,0,0,0,0,0,0,0,0,0,0
158,G4S fined £44m by Serious Fraud Office over electronic tagging,0,0,0,0,0,0,0,0,0,0,0
159,The billionaire Boohoo family who started with a market stall in Manchester,0,1,1,1,0,1,1,1,1,0,0
160,Estate agents in England report surge of interest as tax cut spurs on homebuyers,0,0,0,0,0,0,0,0,0,0,0
161,Boohoo shareholder sells off shares in firm worth nearly £80m,0,0,0,0,0,0,0,0,0,0,0
162,West End landlord collects less than a third of rent in June,0,0,0,0,0,0,0,0,0,0,0
163,UK travel companies 'must comply with laws on refunds or face legal action',0,0,0,0,0,0,0,0,0,0,0
164,Boohoo co-founder Jalal Kamani linked to Leicester garment factory,0,0,0,0,0,0,0,0,0,0,0
165,Divided Libya to restart oil production after six-month shutdown,0,1,0,1,0,1,0,0,1,1,0
166,"Business live  England gets ready to reopen gyms, pools and nail bars as Covid-19 lockdown eases - as it happened",0,0,0,0,0,0,0,0,0,0,0
167,The age of extinction  Boris Johnson says newts are a drag on the UK’s economy. Here’s why he’s wrong,0,0,0,0,0,0,0,0,0,0,0
168,"Gyms, pools and nail bars: what the new rules in England allow",0,0,0,0,0,0,0,0,0,0,0
169,Other lives  Mike Wilson obituary,0,0,0,0,0,0,0,0,0,0,0
170,Julia Sawalha furious after being told she is 'too old' for Chicken Run sequel,0,0,0,0,0,0,0,0,0,0,0
171,‘This isn’t really Somerset’: how the rich took over Bruton,0,0,0,0,0,0,0,0,0,0,0
172,Royal Mail fined £1.6m for late deliveries and stamp overcharging,0,0,0,0,0,0,0,0,0,0,0
173,Culture in peril  Coronavirus: hospitality VAT cut will apply to concerts and music festivals,0,0,0,0,0,0,0,0,0,0,0
174,One in 10 of Restaurant Group outlets will not reopen this year,0,0,0,0,0,0,0,0,0,0,0
175,How will we know the US economy is recovering? Here's what I'm watching,0,0,0,0,0,0,0,0,0,0,0
176,Gym Group to reopen most branches in England from 25 July,0,0,0,0,0,0,0,0,0,0,0
177,Pubs and restaurants in England trade at half their pre-virus levels,0,0,0,0,0,0,0,0,0,0,0
178,"Nils Pratley on finance  


  Sharon White's radicalism at John Lewis is sorely needed",0,1,1,1,0,1,1,1,1,0,0
179,US push to ease global energy controls as it hands fossil fuels $3bn,0,1,0,1,0,1,0,0,1,1,0
180,Boohoo shares bounce back after pledge to improve factory conditions,0,0,0,0,0,0,0,0,0,0,0
181,Kent airport gets green light to reopen as international hub,0,0,0,0,0,0,0,0,0,0,0
182,"Business live  Boots to cut 4,000 jobs as John Lewis to shut eight stores, putting 1,300 jobs at risk - as it happened",0,0,0,0,0,0,0,0,0,0,0
183,Seven ways to help garment workers,0,0,0,0,0,0,0,0,0,0,0
184,"Boots and John Lewis to cut 5,300 jobs and close stores",0,0,0,0,0,0,0,0,0,0,0
185,'Left in limbo': Leicester fears local lockdown will go on until mid-August,0,0,0,0,0,0,0,0,0,0,0
186,Man arrested in Solihull over suspected £500k furlough fraud,0,0,0,0,0,0,0,0,0,0,0
187,'No masks': Wagamama criticised over Rishi Sunak photo op,0,0,0,0,0,0,0,0,0,0,0
188,'Phones ringing off the hook' at estate agents after stamp duty cut,0,0,0,0,0,0,0,0,0,0,0
189,"Barclays bosses wrote Amanda Staveley off as 'dolly bird', court told",0,0,0,0,0,0,0,0,0,0,0
190,"Sunak's jobs policies badly timed and poorly targeted, says IFS",0,0,0,0,0,0,0,0,0,0,0
191,Our film critic's first drive-in: 'I quietly squeak with excitement',0,0,0,0,0,0,0,0,0,0,0
192,Rolls-Royce burned through £3bn in cash owing to Covid-19 crisis,0,0,0,0,0,0,0,0,0,0,0
193,The pelvic mesh scandal makes it clear: doctors must declare any funding,0,0,0,0,0,0,0,0,0,0,0
194,"Boots to cut 4,000 jobs and close stores after dramatic fall in shopper numbers",0,0,0,0,0,0,0,0,0,0,0
195,Workers fight back as US hotels try to lay off staff and hire on the cheap,0,0,0,0,0,0,0,0,0,0,0
196,Second administrator to scrutinise Laura Ashley collapse,0,0,0,0,0,0,0,0,0,0,0
197,Summer statement 2020: IFS airs doubts on 'unprecedented' UK economic stimulus,0,0,0,0,0,0,0,0,0,0,0
198,"John Lewis shuts eight stores with expected loss of 1,300 jobs",0,0,0,0,0,0,0,0,0,0,0
199,China has shown it is willing to pay the economic price of suppressing Hong Kong,0,0,0,0,0,0,0,0,0,0,0
200,Uber Eats to deliver your supermarket shopping with Asda tie-up,0,1,1,1,0,1,1,1,1,0,0
201,"Ofgem's £25bn plan puts climate goals at risk, say energy firms",0,1,0,1,0,1,0,0,1,1,0
202,NBN Co to sack 800 workers as ‘initial build’ of network finishes after 10 years,0,0,0,0,0,0,0,0,0,0,0
203,Today in Focus  The Leicester garment factories exposed by Covid-19,0,0,0,0,0,0,0,0,0,0,0
204,"Rio Tinto smelter in New Zealand to close with loss of 1,000 jobs",0,0,0,0,0,0,0,0,0,0,0
205,UK housing market's post-lockdown bounce 'might run out of steam',1,1,1,1,1,1,1,1,1,0,1
206,Mass unemployment feared despite Rishi Sunak's 'plan for jobs',0,0,0,0,0,0,0,0,0,0,0
207,'There are too many uncertainties': reactions to the summer statement,0,0,0,0,0,0,0,0,0,0,0
208,International aviation and shipping likely to be added to UK's net zero carbon target,0,0,0,0,0,0,0,0,0,0,0
209,Chancellor's 'eat out to help out' plan: how to get value for money,0,0,0,0,0,0,0,0,0,0,0
210,Unions urge Rishi Sunak to do more on unemployment,0,0,0,0,0,0,0,0,0,0,0
211,"VAT cut for restaurants, pub meals and hotels: what will it mean for you?",0,0,0,0,0,0,0,0,0,0,0
212,Chancellor's stock peaks with 'nudge' summer statement,0,0,0,0,0,0,0,0,0,0,0
213,'Not what a green recovery looks like': Rishi Sunak's plan gets mixed response,0,0,0,0,0,0,0,0,0,0,0
214,"Stamp duty holiday may revive housing market, say experts",1,1,1,1,1,1,1,1,1,0,1
215,"Politics live with Andrew Sparrow  UK coronavirus live: Rishi Sunak unveils stamp duty cut, furlough bonus and August discount for eating out – as it happened",0,0,0,0,0,0,0,0,0,0,0
216,UK business leaders warn over closure of furlough scheme,0,0,0,0,0,0,0,0,0,0,0
217,Boohoo to launch independent review of UK supply chain,0,0,0,0,0,0,0,0,0,0,0
218,"May worst month for Covid-19 impact on UK job market, ONS figures show",0,1,1,1,0,1,1,1,1,0,0
219,Devolved nations call on Treasury for billions in extra spending,0,0,0,0,0,0,0,0,0,0,0
220,Boohoo must take fashion more seriously after factory scandal,0,0,0,0,0,0,0,0,0,0,0
221,Scotland to keep 14-day quarantine for travellers from Spain,0,0,0,0,0,0,0,0,0,0,0
222,UK nominates Liam Fox to lead World Trade Organization,0,0,0,0,0,0,0,0,0,0,0
223,Rishi Sunak unveils stamp duty holiday and hospitality VAT cut,0,0,0,0,0,0,0,0,0,0,0
224,"Ryanair to keep on UK-based crew in return for pay cuts, say unions",0,0,0,0,0,0,0,0,0,0,0
225,"Tati, much-loved French retailer, shuts up shop in Paris after 70 years",1,0,1,1,1,0,0,0,1,1,0
226,Summer statement 2020: the chancellor's key points at a glance,0,0,0,0,0,0,0,0,0,0,0
227,FirstGroup could cease trading as coronavirus hits passenger levels,0,0,0,0,0,0,0,0,0,0,0
228,Grant Thornton fined over Conviviality audit failures,0,0,0,0,0,0,0,0,0,0,0
229,Activists see Purdue bankruptcy case as last chance to call Sacklers to account,0,1,1,1,0,1,1,1,1,0,0
230,Uber to launch London commuter boat service with Thames Clippers,0,0,0,0,0,0,0,0,0,0,0
231,147 new Australian Covid-19 cases – as it happened,0,0,0,0,0,0,0,0,0,0,0
232,Stop trying to fight racism with corporate diversity consultants,0,0,0,0,0,0,0,0,0,0,0
233,Summer statement: Rishi Sunak plans temporary job creation scheme for under-25s,0,0,0,0,0,0,0,0,0,0,0
234,Summer statement: the UK's Covid-19 economic crisis in five key charts,0,0,0,0,0,0,0,0,0,0,0
235,How Rishi Sunak could kickstart UK's post-lockdown economy,0,0,0,0,0,0,0,0,0,0,0
236,"Scam calls will rise as lockdown eases, says trading standards body",0,0,0,0,0,0,0,0,0,0,0
237,"Next, Asos and Amazon drop Boohoo amid Leicester factory claims",0,0,0,0,0,0,0,0,0,0,0
238,"Nils Pratley on finance  


  No business need at all now for a Chinese nuclear plant in the UK",0,1,1,1,0,1,1,1,1,0,0
239,Thousands of Jaguar Land Rover logistics workers to lose jobs,0,0,0,0,0,0,0,0,0,0,0
240,Deutsche Bank to pay $150m fine to settle charges linked to Epstein dealings,0,1,1,1,0,1,1,1,1,0,0
241,Crime fiction boom as book sales rocket past 2019 levels,0,0,0,0,0,0,0,0,0,0,0
242,Business live  Markets slide as EC predicts deeper eurozone recession - as it happened,0,1,1,1,0,1,1,1,1,0,0
243,JD Sports warehouse in Rochdale hosts mobile Covid-19 lab after positive tests,0,0,0,0,0,0,0,0,0,0,0
244,The pandemic has exposed the dark underside of fast fashion's supply chains,0,0,0,0,0,0,0,0,0,0,0
245,"Lockdown living  


  Fast fashion creates misery – and that's always a bad look",0,0,0,0,0,0,0,0,0,0,0
246,New Welsh factory at risk as Jim Ratcliffe's Ineos looks to make cars in France,0,0,0,0,0,0,0,0,0,0,0
247,Halfords predicts bicycle boom to continue for 2020,0,0,0,0,0,0,0,0,0,0,0
248,"UK house prices fell for fourth month in a row, says Halifax",0,0,0,0,0,0,0,0,0,0,0
249,"'We squandered a decade': world losing fight against poverty, says UN academic",0,0,0,0,0,0,0,0,0,0,0
250,'People say we don’t exist': the scandal of excluded black architects,0,0,0,0,0,0,0,0,0,0,0
251,"Europe faces deep recession and UK will shrink by 10%, says EC",0,0,0,0,0,0,0,0,0,0,0
252,Boohoo shareholders demand answers after shares plunge by a third,0,0,0,0,0,0,0,0,0,0,0
253,"Over 5,600 fossil fuel companies have taken at least $3bn in US Covid-19 aid",0,0,0,0,0,0,0,0,0,0,0
254,Empathy machines: what will happen when robots learn to write film scripts?,0,0,0,0,0,0,0,0,0,0,0
255,UK jobless rate 'could near 15% in second coronavirus wave',0,0,0,0,0,0,0,0,0,0,0
256,"UK hotel bookings returning after Covid-19 slump, says Premier Inn owner",0,0,0,0,0,0,0,0,0,0,0
257,Mirror and Express owner Reach to cut 550 jobs,0,0,0,0,0,0,0,0,0,0,0
258,"Treasury's 'green recovery' not enough, say campaigners",0,0,0,0,0,0,0,0,0,0,0
259,Tory ministers from 1980s fear return to mass unemployment,0,0,0,0,0,0,0,0,0,0,0
260,Gambling charity urges UK banks to improve card blocking systems,0,1,1,1,0,1,1,1,1,0,0
261,Multibillion-dollar gas projects in jeopardy as global market collapses,1,1,1,1,0,1,1,1,1,1,0
262,"Jonathan Sackler, joint owner of opioid maker Purdue Pharma, dies aged 65",0,0,0,0,0,0,0,1,0,1,1
263,"Nils Pratley on finance  


  Departure of Horta-Osório no bad thing for Lloyds at this time",0,1,1,1,0,1,1,1,1,0,0
264,More than £1bn wiped off Boohoo value as it investigates Leicester factory,0,0,0,0,0,0,0,0,0,0,0
265,Business live  UK car sales weakest since 1971; US service sector strengthens - as it happened,0,0,0,0,0,0,0,0,0,0,0
266,Aviva appoints Amanda Blanc as chief executive,0,0,0,0,0,0,0,0,0,0,0
267,Pret a Manger: full list of stores to close,0,0,0,0,0,0,0,0,0,0,0
268,Giant flywheel project in Scotland could prevent UK blackouts,0,0,0,0,0,0,0,0,0,0,0
269,UK construction sector rebounds amid plan for stamp duty holiday,1,1,1,0,0,1,1,0,1,0,1
270,Hollywood stars to be exempt from UK's coronavirus quarantine rules,0,0,0,0,0,0,0,0,0,0,0
271,"Pret a Manger to close 30 stores and could cut more than 1,000 jobs",0,0,0,0,0,0,0,0,0,0,0
272,UK’s big accountancy firms told to split off audit arms by 2024,0,0,0,0,0,0,0,0,0,0,0
